year,month,hour_of_day,incident_type_primary,day_of_week
2022,8,5,UUV,Wednesday
2022,4,23,ASSAULT,Sunday
2022,4,20,LARCENY/THEFT,Sunday
2022,4,19,ASSAULT,Sunday
2022,4,12,LARCENY/THEFT,Wednesday
2022,4,19,ROBBERY,Thursday
2022,4,10,LARCENY/THEFT,Monday
2022,4,16,ASSAULT,Thursday
2022,4,16,BURGLARY,Thursday
2022,6,1,UUV,Friday
2022,6,12,LARCENY/THEFT,Thursday
2022,4,21,MURDER,Sunday
2022,4,20,BURGLARY,Sunday
2022,4,12,UUV,Monday
2022,4,15,LARCENY/THEFT,Sunday
2022,4,10,ASSAULT,Sunday
2022,8,16,UUV,Tuesday
2022,4,10,LARCENY/THEFT,Sunday
2022,6,16,LARCENY/THEFT,Thursday
2022,4,9,UUV,Sunday
2022,6,9,UUV,Thursday
2022,4,21,BURGLARY,Sunday
2022,6,14,ASSAULT,Thursday
2022,4,13,LARCENY/THEFT,Sunday
2022,8,19,UUV,Tuesday
2022,4,17,LARCENY/THEFT,Monday
2022,4,17,LARCENY/THEFT,Monday
2022,6,20,LARCENY/THEFT,Thursday
2022,4,22,LARCENY/THEFT,Sunday
2022,4,21,ROBBERY,Sunday
2022,4,10,UUV,Sunday
2022,4,12,UUV,Sunday
2022,4,8,LARCENY/THEFT,Sunday
2022,4,5,BURGLARY,Sunday
2022,4,6,ASSAULT,Sunday
2022,4,12,LARCENY/THEFT,Thursday
2022,4,12,LARCENY/THEFT,Sunday
2022,4,3,ASSAULT,Sunday
2022,4,18,LARCENY/THEFT,Sunday
2022,4,15,MURDER,Sunday
2022,4,22,ASSAULT,Sunday
2022,4,13,UUV,Sunday
2022,6,16,ASSAULT,Thursday
2022,4,15,LARCENY/THEFT,Sunday
2022,4,10,LARCENY/THEFT,Tuesday
2022,6,22,ASSAULT,Friday
2022,6,18,LARCENY/THEFT,Sunday
2022,6,13,LARCENY/THEFT,Monday
2022,4,14,LARCENY/THEFT,Friday
2022,6,16,ROBBERY,Tuesday
2022,4,6,UUV,Saturday
2022,4,6,UUV,Saturday
2022,4,7,UUV,Saturday
2022,4,5,SEXUAL ABUSE,Saturday
2022,4,18,ASSAULT,Friday
2022,4,17,BURGLARY,Friday
2022,8,13,UUV,Tuesday
2022,8,16,LARCENY/THEFT,Tuesday
2022,8,14,LARCENY/THEFT,Friday
2022,8,21,ASSAULT,Friday
2022,8,13,LARCENY/THEFT,Friday
2022,8,15,ASSAULT,Friday
2022,8,9,LARCENY/THEFT,Saturday
2022,4,17,LARCENY/THEFT,Friday
2022,6,21,LARCENY/THEFT,Tuesday
2022,4,16,SEXUAL ABUSE,Wednesday
2022,4,7,LARCENY/THEFT,Saturday
2022,4,14,BURGLARY,Saturday
2022,4,18,LARCENY/THEFT,Monday
2022,4,15,ASSAULT,Monday
2022,4,13,LARCENY/THEFT,Monday
2022,4,14,ASSAULT,Monday
2022,8,5,BURGLARY,Friday
2022,8,9,LARCENY/THEFT,Saturday
2022,4,21,UUV,Monday
2022,4,14,UUV,Monday
2022,4,23,UUV,Monday
2022,4,5,ASSAULT,Monday
2022,4,14,LARCENY/THEFT,Monday
2022,8,13,LARCENY/THEFT,Friday
2022,8,9,UUV,Saturday
2022,4,16,UUV,Monday
2022,8,2,LARCENY/THEFT,Tuesday
2022,4,7,ASSAULT,Monday
2022,4,0,UUV,Tuesday
2022,4,15,LARCENY/THEFT,Monday
2022,4,22,LARCENY/THEFT,Monday
2022,4,21,UUV,Monday
2022,4,15,ROBBERY,Monday
2022,4,14,BURGLARY,Monday
2022,4,15,LARCENY/THEFT,Wednesday
2022,4,6,LARCENY/THEFT,Monday
2022,6,15,UUV,Friday
2022,6,2,ROBBERY,Wednesday
2022,6,10,LARCENY/THEFT,Friday
2022,6,12,BURGLARY,Saturday
2022,4,12,LARCENY/THEFT,Thursday
2022,4,13,LARCENY/THEFT,Friday
2022,6,8,LARCENY/THEFT,Wednesday
2022,6,17,UUV,Friday
2022,6,6,BURGLARY,Saturday
2022,6,15,ASSAULT,Friday
2022,6,10,ASSAULT,Friday
2022,8,13,LARCENY/THEFT,Friday
2022,8,11,LARCENY/THEFT,Friday
2022,6,16,BURGLARY,Friday
2022,6,12,LARCENY/THEFT,Friday
2022,6,19,MURDER,Friday
2022,5,6,ROBBERY,Sunday
2022,4,22,ROBBERY,Saturday
2022,8,6,BURGLARY,Monday
2022,6,9,BURGLARY,Tuesday
2022,5,0,LARCENY/THEFT,Sunday
2022,4,18,LARCENY/THEFT,Saturday
2022,4,16,LARCENY/THEFT,Saturday
2022,8,1,BURGLARY,Saturday
2022,6,10,ASSAULT,Friday
2022,6,15,LARCENY/THEFT,Friday
2022,6,11,LARCENY/THEFT,Friday
2022,8,20,BURGLARY,Sunday
2022,6,13,LARCENY/THEFT,Friday
2022,6,12,LARCENY/THEFT,Friday
2022,8,6,LARCENY/THEFT,Friday
2022,6,17,ROBBERY,Sunday
2022,6,13,BURGLARY,Friday
2022,4,19,MURDER,Saturday
2022,6,9,ASSAULT,Saturday
2022,8,10,LARCENY/THEFT,Friday
2022,4,8,LARCENY/THEFT,Tuesday
2022,4,13,LARCENY/THEFT,Tuesday
2022,4,6,UUV,Wednesday
2022,6,6,BURGLARY,Saturday
2022,6,8,LARCENY/THEFT,Friday
2022,4,11,LARCENY/THEFT,Tuesday
2022,4,6,LARCENY/THEFT,Tuesday
2022,6,21,ASSAULT,Friday
2022,8,8,UUV,Thursday
2022,6,16,ASSAULT,Friday
2022,4,7,BURGLARY,Wednesday
2022,6,13,UUV,Friday
2022,6,14,UUV,Friday
2022,4,22,THEFT OF SERVICES,Tuesday
2022,4,15,LARCENY/THEFT,Tuesday
2022,4,11,LARCENY/THEFT,Tuesday
2022,4,9,THEFT OF SERVICES,Tuesday
2022,4,9,UUV,Tuesday
2022,6,12,LARCENY/THEFT,Sunday
2022,4,12,LARCENY/THEFT,Tuesday
2022,4,19,LARCENY/THEFT,Tuesday
2022,6,8,LARCENY/THEFT,Thursday
2022,4,4,ASSAULT,Sunday
2022,8,19,LARCENY/THEFT,Wednesday
2022,8,18,ASSAULT,Wednesday
2022,8,20,LARCENY/THEFT,Thursday
2022,6,12,LARCENY/THEFT,Wednesday
2022,6,18,ASSAULT,Wednesday
2022,4,14,LARCENY/THEFT,Sunday
2022,6,17,LARCENY/THEFT,Wednesday
2022,8,12,LARCENY/THEFT,Thursday
2022,5,16,LARCENY/THEFT,Sunday
2022,8,14,LARCENY/THEFT,Sunday
2022,8,16,LARCENY/THEFT,Monday
2022,8,4,ROBBERY,Thursday
2022,8,2,LARCENY/THEFT,Tuesday
2022,6,14,LARCENY/THEFT,Wednesday
2022,6,13,LARCENY/THEFT,Wednesday
2022,6,6,ROBBERY,Thursday
2022,6,21,UUV,Monday
2022,6,4,ASSAULT,Thursday
2022,6,14,LARCENY/THEFT,Tuesday
2022,6,2,ASSAULT,Saturday
2022,6,13,LARCENY/THEFT,Saturday
2022,8,21,LARCENY/THEFT,Sunday
2022,4,14,UUV,Sunday
2022,5,17,LARCENY/THEFT,Sunday
2022,5,20,BURGLARY,Sunday
2022,5,6,LARCENY/THEFT,Monday
2022,4,3,ASSAULT,Saturday
2022,6,8,LARCENY/THEFT,Saturday
2022,4,10,LARCENY/THEFT,Wednesday
2022,8,21,BURGLARY,Saturday
2022,4,19,LARCENY/THEFT,Wednesday
2022,8,12,LARCENY/THEFT,Saturday
2022,4,10,UUV,Wednesday
2022,8,9,THEFT OF SERVICES,Saturday
2022,8,21,ROBBERY,Saturday
